  No.   E(hr.)    dos(hr.)       E(eV)          dos(eV)    sum
      6  -0.4793      0.00000000    -11.2947    0.0000000000    0.0000
     16  -0.4783      0.00000000    -11.2674    0.0000000000    0.0000
     26  -0.4773      0.00000000    -11.2402    0.0000000000    0.0000
     36  -0.4763      0.00000000    -11.2130    0.0000000000    0.0000
     46  -0.4753      0.00000000    -11.1858    0.0000000000    0.0000
     56  -0.4743      0.00000000    -11.1586    0.0000000000    0.0000
     66  -0.4733      0.00000000    -11.1314    0.0000000000    0.0000
     76  -0.4723      0.00000000    -11.1042    0.0000000000    0.0000
     86  -0.4713      0.29145055    -11.0770    0.0107106101    0.0000
     96  -0.4703     16.92990160    -11.0498    0.6221624083    0.0085
    106  -0.4693     17.18145498    -11.0225    0.6314068247    0.0257
    116  -0.4683     17.25102699    -10.9953    0.6339635488    0.0428
    126  -0.4673     17.11825897    -10.9681    0.6290844140    0.0601
    136  -0.4663     16.94685065    -10.9409    0.6227852744    0.0773
    146  -0.4653     17.41803767    -10.9137    0.6401010780    0.0946
    156  -0.4643     17.38648992    -10.8865    0.6389417195    0.1118
    166  -0.4633     17.08517977    -10.8593    0.6278687759    0.1292
    176  -0.4623     17.67875467    -10.8321    0.6496822509    0.1464
    186  -0.4613     17.13407906    -10.8049    0.6296657916    0.1639
    196  -0.4603     17.58507215    -10.7776    0.6462394820    0.1812
    206  -0.4593     17.21076072    -10.7504    0.6324837904    0.1986
    216  -0.4583     17.38754737    -10.7232    0.6389805802    0.2159
    226  -0.4573     17.59063724    -10.6960    0.6464439953    0.2336
    236  -0.4563     17.32638162    -10.6688    0.6367327805    0.2508
    246  -0.4553     17.69779974    -10.6416    0.6503821446    0.2683
    256  -0.4543     17.32258842    -10.6144    0.6365933826    0.2859
    266  -0.4533     17.49815203    -10.5872    0.6430452263    0.3033
    276  -0.4523     17.75972003    -10.5599    0.6526576731    0.3210
    286  -0.4513     17.49445871    -10.5327    0.6429094995    0.3386
    296  -0.4503     17.67826064    -10.5055    0.6496640958    0.3561
    306  -0.4493     17.66111478    -10.4783    0.6490339972    0.3739
    316  -0.4483     17.65238751    -10.4511    0.6487132756    0.3915
    326  -0.4473     17.69209341    -10.4239    0.6501724409    0.4091
    336  -0.4463     17.96599410    -10.3967    0.6602381054    0.4271
    346  -0.4453     17.65910048    -10.3695    0.6489599730    0.4448
    356  -0.4443     17.85049243    -10.3423    0.6559934972    0.4625
    366  -0.4433     17.96431444    -10.3150    0.6601763789    0.4805
    376  -0.4423     17.82602446    -10.2878    0.6550943161    0.4984
    386  -0.4413     17.91696603    -10.2606    0.6584363569    0.5162
    396  -0.4403     18.16698800    -10.2334    0.6676244950    0.5342
    406  -0.4393     17.95001673    -10.2062    0.6596509480    0.5523
    416  -0.4383     17.98148724    -10.1790    0.6608074677    0.5703
    426  -0.4373     18.08110887    -10.1518    0.6644684950    0.5883
    436  -0.4363     18.32306427    -10.1246    0.6733601920    0.6065
    446  -0.4353     18.08088335    -10.0974    0.6644602074    0.6247
    456  -0.4343     18.19885873    -10.0701    0.6687957225    0.6429
    466  -0.4333     18.23993515    -10.0429    0.6703052533    0.6611
    476  -0.4323     18.60150967    -10.0157    0.6835928719    0.6796
    486  -0.4313     18.31103577     -9.9885    0.6729181529    0.6980
    496  -0.4303     18.39608995     -9.9613    0.6760438363    0.7163
    506  -0.4293     18.49720842     -9.9341    0.6797598717    0.7347
    516  -0.4283     18.72753416     -9.9069    0.6882241864    0.7533
    526  -0.4273     18.56259540     -9.8797    0.6821627989    0.7720
    536  -0.4263     18.57948818     -9.8525    0.6827835969    0.7906
    546  -0.4253     18.78390182     -9.8252    0.6902956598    0.8093
    556  -0.4243     18.98952999     -9.7980    0.6978523556    0.8282
    566  -0.4233     18.91408200     -9.7708    0.6950796932    0.8471
    576  -0.4223     18.90506369     -9.7436    0.6947482761    0.8660
    586  -0.4213     18.99618309     -9.7164    0.6980968525    0.8849
    596  -0.4203     19.27777979     -9.6892    0.7084453403    0.9041
    606  -0.4193     19.19714282     -9.6620    0.7054819863    0.9233
    616  -0.4183     19.31484635     -9.6348    0.7098075112    0.9426
    626  -0.4173     19.35994062     -9.6076    0.7114646952    0.9619
    636  -0.4163     19.50594344     -9.5803    0.7168301999    0.9813
    646  -0.4153     19.82122718     -9.5531    0.7284166637    1.0011
    656  -0.4143     19.66221879     -9.5259    0.7225732128    1.0208
    666  -0.4133     19.87970916     -9.4987    0.7305658368    1.0405
    676  -0.4123     19.97963084     -9.4715    0.7342378906    1.0605
    686  -0.4113     20.22693081     -9.4443    0.7433259970    1.0805
    696  -0.4103     20.33086003     -9.4171    0.7471453252    1.1009
    706  -0.4093     20.37436935     -9.3899    0.7487442633    1.1212
    716  -0.4083     20.66195491     -9.3626    0.7593128376    1.1417
    726  -0.4073     20.80715838     -9.3354    0.7646489667    1.1624
    736  -0.4063     21.21975726     -9.3082    0.7798116959    1.1834
    746  -0.4053     21.25694216     -9.2810    0.7811782161    1.2047
    756  -0.4043     21.44015131     -9.2538    0.7879110278    1.2260
    766  -0.4033     21.82722981     -9.2266    0.8021359005    1.2477
    776  -0.4023     22.06617003     -9.1994    0.8109167916    1.2696
    786  -0.4013     22.67718075     -9.1722    0.8333710215    1.2920
    796  -0.4003     22.80650020     -9.1450    0.8381234236    1.3147
    806  -0.3993     23.31910924     -9.1177    0.8569614582    1.3378
    816  -0.3983     23.80452911     -9.0905    0.8748003094    1.3613
    826  -0.3973     24.46043374     -9.0633    0.8989043602    1.3854
    836  -0.3963     25.41334925     -9.0361    0.9339233592    1.4104
    846  -0.3953     26.24682693     -9.0089    0.9645530988    1.4362
    856  -0.3943     27.34485771     -8.9817    1.0049049857    1.4630
    866  -0.3933     29.15319642     -8.9545    1.0713602075    1.4912
    876  -0.3923     31.94183058     -8.9273    1.1738406229    1.5215
    886  -0.3913     38.16672777     -8.9001    1.4026013751    1.5561
    896  -0.3903     42.51627257     -8.8728    1.5624441986    1.5992
    906  -0.3893     32.64930176     -8.8456    1.1998397092    1.6357
    916  -0.3883     26.58897557     -8.8184    0.9771268296    1.6647
    926  -0.3873     24.27987627     -8.7912    0.8922689953    1.6902
    936  -0.3863     23.80137844     -8.7640    0.8746845244    1.7144
    946  -0.3853     20.60635337     -8.7368    0.7572695190    1.7362
    956  -0.3843     18.76511646     -8.7096    0.6896053105    1.7560
    966  -0.3833     18.04389308     -8.6824    0.6631008400    1.7743
    976  -0.3823     16.81931989     -8.6552    0.6180986054    1.7917
    986  -0.3813     16.32354068     -8.6279    0.5998790554    1.8084
    996  -0.3803     14.56766249     -8.6007    0.5353517224    1.8238
   1006  -0.3793     14.07381430     -8.5735    0.5172031361    1.8380
   1016  -0.3783     12.97517414     -8.5463    0.4768288549    1.8516
   1026  -0.3773     12.39057620     -8.5191    0.4553452767    1.8643
   1036  -0.3763     12.10648964     -8.4919    0.4449052880    1.8767
   1046  -0.3753     10.75041087     -8.4647    0.3950703128    1.8880
   1056  -0.3743     10.38770747     -8.4375    0.3817412085    1.8984
   1066  -0.3733      9.63297567     -8.4102    0.3540053265    1.9086
   1076  -0.3723      9.12575896     -8.3830    0.3353654563    1.9179
   1086  -0.3713      8.80413211     -8.3558    0.3235458874    1.9268
   1096  -0.3703      7.93753121     -8.3286    0.2916988915    1.9353
   1106  -0.3693      7.16405023     -8.3014    0.2632739898    1.9428
   1116  -0.3683      7.08967656     -8.2742    0.2605408081    1.9498
   1126  -0.3673      6.43964534     -8.2470    0.2366526014    1.9567
   1136  -0.3663      5.98192839     -8.2198    0.2198318135    1.9629
   1146  -0.3653      5.34904699     -8.1926    0.1965738512    1.9685
   1156  -0.3643      5.05373012     -8.1653    0.1857211563    1.9738
   1166  -0.3633      4.28225625     -8.1381    0.1573700146    1.9784
   1176  -0.3623      4.22095272     -8.1109    0.1551171513    1.9826
   1186  -0.3613      3.73764735     -8.0837    0.1373560068    1.9867
   1196  -0.3603      2.92702451     -8.0565    0.1075661669    1.9900
   1206  -0.3593      2.44768922     -8.0293    0.0899509197    1.9927
   1216  -0.3583      3.36114178     -8.0021    0.1235196822    1.9950
   1226  -0.3573      1.08752564     -7.9749    0.0399658300    1.9978
   1236  -0.3563      0.81600732     -7.9477    0.0299877160    1.9987
   1246  -0.3553      0.55167814     -7.9204    0.0202737979    1.9994
   1256  -0.3543      0.28949077     -7.8932    0.0106385895    1.9998
   1266  -0.3533      0.05897500     -7.8660    0.0021672913    2.0000
   1276  -0.3523      0.20764336     -7.8388    0.0076307528    2.0001
